Graph	Algorithm	Seed	Solution	Time
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-3	2	165	0
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-3	3	165	0
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-3	4	166	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-3	5	168	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-3	6	165	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-3	7	165	0
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-3	8	169	0
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-3	9	166	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-48	1	178	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-48	10	180	3
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-48	2	178	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-48	3	175	2
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-48	4	175	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-48	5	180	3
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-48	6	184	5
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-48	7	183	4
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-48	8	179	5
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-48	9	181	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-4	1	171	0
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-4	10	173	0
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-4	2	174	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-4	3	173	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-4	4	171	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-4	5	174	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-4	6	173	0
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-4	7	173	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-4	8	173	0
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-4	9	173	0
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-6	1	181	0
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-6	10	172	0
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-6	2	177	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-6	3	179	0
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-6	4	182	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-6	5	181	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-6	6	174	0
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-6	7	181	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-6	8	173	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-6	9	181	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-8	1	178	0
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-8	10	180	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-8	2	181	0
