Graph	Algorithm	RandomSeed	Solution	Time
Amazon0302	SimFASDC-8	7	810432	1972
Amazon0302	SimFASDC-8	8	811379	1777
Amazon0302	SimFASDC-8	9	811672	1912
Amazon0302	FASDC-12	1	807598	2452
Amazon0302	FASDC-12	10	806740	2512
Amazon0302	FASDC-12	2	808938	2384
Amazon0302	FASDC-12	3	807964	2636
Amazon0302	FASDC-12	4	808340	2426
Amazon0302	FASDC-12	5	808269	2466
Amazon0302	FASDC-12	6	808067	2262
Amazon0302	FASDC-12	7	807267	2195
Amazon0302	FASDC-12	8	807871	2461
Amazon0302	FASDC-12	9	807853	2439
Amazon0302	FASDC-16	1	807399	2845
Amazon0302	FASDC-16	10	806450	2580
Amazon0302	FASDC-16	2	808695	2393
Amazon0302	FASDC-16	3	807673	2527
Amazon0302	FASDC-16	4	808089	2549
Amazon0302	FASDC-16	5	807957	2595
Amazon0302	FASDC-16	6	807882	2592
Amazon0302	FASDC-16	7	806899	2617
Amazon0302	FASDC-16	8	807431	2343
Amazon0302	FASDC-16	9	807534	2398
Amazon0302	FASDC-24	1	807083	2874
Amazon0302	FASDC-24	10	806275	2794
Amazon0302	FASDC-24	2	808426	2796
Amazon0302	FASDC-24	3	807656	2883
Amazon0302	FASDC-24	4	807985	2524
Amazon0302	FASDC-24	5	807786	2816
Amazon0302	FASDC-24	6	807588	2480
Amazon0302	FASDC-24	7	806670	2842
Amazon0302	FASDC-24	8	807151	2792
Amazon0302	FASDC-24	9	807186	2999
Amazon0302	FASDC-2	1	810656	1981
Amazon0302	FASDC-2	10	809762	2028
Amazon0302	FASDC-2	2	812104	2166
Amazon0302	FASDC-2	3	810973	2298
Amazon0302	FASDC-2	4	811218	2295
Amazon0302	FASDC-2	5	811219	2187
Amazon0302	FASDC-2	6	811194	2084
Amazon0302	FASDC-2	7	810184	1972
Amazon0302	FASDC-2	8	810491	2211
Amazon0302	FASDC-2	9	810694	2201
Amazon0302	FASDC-32	1	807128	3264
Amazon0302	FASDC-32	10	806121	2966
Amazon0302	FASDC-32	2	808316	2631
Amazon0302	FASDC-32	3	807481	2769
Amazon0302	FASDC-32	4	807846	3081
Amazon0302	FASDC-32	5	807692	3078
Amazon0302	FASDC-32	6	807541	2954
Amazon0302	FASDC-32	7	806615	3005
Amazon0302	FASDC-32	8	807048	2921
Amazon0302	FASDC-32	9	807158	2917
Amazon0302	FASDC-3	1	809937	2204
Amazon0302	FASDC-3	10	809232	2346
Amazon0302	FASDC-3	2	811134	2171
Amazon0302	FASDC-3	3	810383	2154
Amazon0302	FASDC-3	4	810654	2019
Amazon0302	FASDC-3	5	810580	2190
Amazon0302	FASDC-3	6	810470	2248
Amazon0302	FASDC-3	7	809611	2171
Amazon0302	FASDC-3	8	810123	2170
Amazon0302	FASDC-3	9	810124	2056
Amazon0302	FASDC-48	1	807009	3187
Amazon0302	FASDC-48	10	805972	3431
Amazon0302	FASDC-48	2	808219	3360
Amazon0302	FASDC-48	3	807377	3468
Amazon0302	FASDC-48	4	807742	3355
Amazon0302	FASDC-48	5	807665	3119
Amazon0302	FASDC-48	6	807292	2979
Amazon0302	FASDC-48	7	806516	3333
Amazon0302	FASDC-48	8	806868	3340
Amazon0302	FASDC-48	9	807154	3486
Amazon0302	FASDC-4	1	809479	2208
Amazon0302	FASDC-4	10	808713	2166
Amazon0302	FASDC-4	2	810724	2037
Amazon0302	FASDC-4	3	809945	3264
Amazon0302	FASDC-4	4	810274	2562
Amazon0302	FASDC-4	5	810114	2216
Amazon0302	FASDC-4	6	809930	2670
Amazon0302	FASDC-4	7	808923	2216
Amazon0302	FASDC-4	8	809651	2207
Amazon0302	FASDC-4	9	809696	2199
Amazon0302	FASDC-6	1	808550	2134
