Graph	Algorithm	RandomSeed	Solution	Time
Amazon0302	SimFASDC-8	7	336954	1324
Amazon0302	SimFASDC-8	8	336961	1313
Amazon0302	SimFASDC-8	9	336951	1368
Amazon0302	FASDC-12	1	336913	1422
Amazon0302	FASDC-12	10	336915	1352
Amazon0302	FASDC-12	2	336915	1279
Amazon0302	FASDC-12	3	336916	1372
Amazon0302	FASDC-12	4	336915	1294
Amazon0302	FASDC-12	5	336918	1352
Amazon0302	FASDC-12	6	336917	1263
Amazon0302	FASDC-12	7	336917	1357
Amazon0302	FASDC-12	8	336915	1377
Amazon0302	FASDC-12	9	336917	1369
Amazon0302	FASDC-16	1	336915	1408
Amazon0302	FASDC-16	10	336913	1292
Amazon0302	FASDC-16	2	336912	1362
Amazon0302	FASDC-16	3	336915	1283
Amazon0302	FASDC-16	4	336914	1362
Amazon0302	FASDC-16	5	336915	1368
Amazon0302	FASDC-16	6	336915	1385
Amazon0302	FASDC-16	7	336915	1293
Amazon0302	FASDC-16	8	336912	1371
Amazon0302	FASDC-16	9	336913	1276
Amazon0302	FASDC-24	1	336911	1278
Amazon0302	FASDC-24	10	336911	1360
Amazon0302	FASDC-24	2	336911	1368
Amazon0302	FASDC-24	3	336914	1370
Amazon0302	FASDC-24	4	336910	1288
Amazon0302	FASDC-24	5	336914	1360
Amazon0302	FASDC-24	6	336910	1255
Amazon0302	FASDC-24	7	336913	1361
Amazon0302	FASDC-24	8	336914	1263
Amazon0302	FASDC-24	9	336910	1340
Amazon0302	FASDC-2	1	336926	1400
Amazon0302	FASDC-2	10	336927	1283
Amazon0302	FASDC-2	2	336927	1357
Amazon0302	FASDC-2	3	336928	1370
Amazon0302	FASDC-2	4	336925	1353
Amazon0302	FASDC-2	5	336926	1270
Amazon0302	FASDC-2	6	336927	1353
Amazon0302	FASDC-2	7	336927	1364
Amazon0302	FASDC-2	8	336926	1349
Amazon0302	FASDC-2	9	336925	1379
Amazon0302	FASDC-32	1	336910	1411
Amazon0302	FASDC-32	10	336909	1285
Amazon0302	FASDC-32	2	336912	1347
Amazon0302	FASDC-32	3	336914	1278
Amazon0302	FASDC-32	4	336911	1342
Amazon0302	FASDC-32	5	336912	1367
Amazon0302	FASDC-32	6	336911	1374
Amazon0302	FASDC-32	7	336912	1285
Amazon0302	FASDC-32	8	336913	1357
Amazon0302	FASDC-32	9	336911	1270
Amazon0302	FASDC-3	1	336920	1311
Amazon0302	FASDC-3	10	336921	1391
Amazon0302	FASDC-3	2	336919	1347
Amazon0302	FASDC-3	3	336919	1282
Amazon0302	FASDC-3	4	336918	1367
Amazon0302	FASDC-3	5	336920	1363
Amazon0302	FASDC-3	6	336921	1372
Amazon0302	FASDC-3	7	336920	1299
Amazon0302	FASDC-3	8	336920	1345
Amazon0302	FASDC-3	9	336920	1274
Amazon0302	FASDC-48	1	336913	1334
Amazon0302	FASDC-48	10	336913	1357
Amazon0302	FASDC-48	2	336913	1366
Amazon0302	FASDC-48	3	336916	1371
Amazon0302	FASDC-48	4	336915	1283
Amazon0302	FASDC-48	5	336917	1342
Amazon0302	FASDC-48	6	336915	1269
Amazon0302	FASDC-48	7	336916	1355
Amazon0302	FASDC-48	8	336914	1333
Amazon0302	FASDC-48	9	336916	1370
Amazon0302	FASDC-4	1	336917	1392
Amazon0302	FASDC-4	10	336916	1296
Amazon0302	FASDC-4	2	336919	1350
Amazon0302	FASDC-4	3	336919	1279
Amazon0302	FASDC-4	4	336918	1350
Amazon0302	FASDC-4	5	336918	1349
Amazon0302	FASDC-4	6	336921	1373
Amazon0302	FASDC-4	7	336917	1357
Amazon0302	FASDC-4	8	336921	1360
Amazon0302	FASDC-4	9	336918	1365
Amazon0302	FASDC-6	1	336916	1297
Amazon0302	FASDC-6	10	336919	1287
Amazon0302	FASDC-6	2	336920	1336
Amazon0302	FASDC-6	3	336921	1276
Amazon0302	FASDC-6	4	336917	1338
Amazon0302	FASDC-6	5	336920	1350
Amazon0302	FASDC-6	6	336919	1363
Amazon0302	FASDC-6	7	336916	1323
Amazon0302	FASDC-6	8	336915	1297
Amazon0302	FASDC-6	9	336917	1270
Amazon0302	FASDC-8	1	336913	1362
Amazon0302	FASDC-8	10	336918	1362
Amazon0302	FASDC-8	2	336918	1355
Amazon0302	FASDC-8	3	336917	1369
Amazon0302	FASDC-8	4	336915	1308
Amazon0302	FASDC-8	5	336918	1350
Amazon0302	FASDC-8	6	336917	1285
Amazon0302	FASDC-8	7	336914	1371
Amazon0302	FASDC-8	8	336917	1353
Amazon0302	FASDC-8	9	336914	1362
Amazon0302	RED+Greedy	1	337131	1319
Amazon0302	RED+Greedy	10	337126	1123
Amazon0302	RED+Greedy	2	337142	1336
Amazon0302	RED+Greedy	3	337130	1324
Amazon0302	RED+Greedy	4	337126	1328
Amazon0302	RED+Greedy	5	337124	1339
Amazon0302	RED+Greedy	6	337139	1321
Amazon0302	RED+Greedy	7	337125	1324
Amazon0302	RED+Greedy	8	337137	1309
Amazon0302	RED+Greedy	9	337128	1379
Amazon0302	REDstar+Greedy	1	336950	1426
Amazon0302	REDstar+Greedy	10	336951	1434
Amazon0302	REDstar+Greedy	2	336951	1400
Amazon0302	REDstar+Greedy	3	336946	1437
Amazon0302	REDstar+Greedy	4	336951	1424
Amazon0302	REDstar+Greedy	5	336946	1442
Amazon0302	REDstar+Greedy	6	336952	1451
Amazon0302	REDstar+Greedy	7	336951	1435
Amazon0302	REDstar+Greedy	8	336945	1417
Amazon0302	REDstar+Greedy	9	336948	1435
Amazon0302	scc+2cyc+Greedy	1	337190	1142
Amazon0302	scc+2cyc+Greedy	10	337196	1143
Amazon0302	scc+2cyc+Greedy	2	337192	1138
Amazon0302	scc+2cyc+Greedy	3	337191	1143
Amazon0302	scc+2cyc+Greedy	4	337196	1134
Amazon0302	scc+2cyc+Greedy	5	337180	1136
